position|responses_english|responses_spanish|question_english|question_spanish|reverse|component|subcategory|subcomponent
1|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Team membership is quite clear--everybody knows exactly who is and isn’t on this team.|La pertenencia al equipo es muy clara. Todo el mundo sabe exactamente quién está y quién no en este equipo|false|Real Team|Delimited|
5|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|There is so much ambiguity about who is on this team that it would be nearly impossible to generate an accurate membership list.|Hay tanta ambigüedad sobre quién está en este equipo que sería casi imposible generar una lista de personas que forman parte de él.|true|Real Team|Delimited|
9|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Anyone who knows this team could accurately name all its members|Cualquier persona que conozca este equipo podría nombrar a todos sus miembros de forma precisa.|false|Real Team|Delimited|
13|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Members of this team have their own individual jobs to do, with little need for them to work together.|Los miembros de este equipo hacen sus tareas de forma individual, con poca necesidad de trabajar juntos.|true|Real Team|Interdependent|
17|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Generating the outcome or product of this team requires a great deal of communication and coordination among members|Este equipo requiere de una gran dosis de comunicación y coordinación entre sus miembros para sacar adelante el trabajo.|false|Real Team|Interdependent|
20|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Members of this team have to depend heavily on one another to get the team’s work done.|Los miembros de este equipo dependen mucho entre sí para sacar adelante el trabajo|false|Real Team|Interdependent|
23|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Different people are constantly joining and leaving this team.|Constantemente están entrando y saliendo personas de este equipo|true|Real Team|Stable|
26|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team is quite stable, with few changes in membership|Este equipo es bastante estable, con pocos cambios en sus miembros|false|Real Team|Stable|
29|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|There is great uncertainty and ambiguity about what this team is supposed to accomplish|Hay una gran incertidumbre y ambigüedad sobre qué es lo que se supone que este equipo debe conseguir.|true|Compelling Direction|Clear|
32|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team’s purposes are specified so clearly that all members should know exactly what the team exists to accomplish|Los propósitos de este equipo están tan claramente especificados que todos los miembros deberían saber exactamente cual es el motivo de su existencia.|false|Compelling Direction|Clear|
